toponym,latitude,longitude
Kanada,61.0666922,-107.991707
Mississippi,32.9715645,-89.7348496
Southern States,39.6164703,-79.9231361
despots,37.0746075,22.366405735037
Tennessee,35.7730076,-86.282008
California,36.7014631,-118.7559973
Dakota's,-1.6490047,-78.6942936
Missouri,38.7604815,-92.5617874
Niagara,43.2042439,-78.7676016
West,0.5090396,34.5731341
Mississippi,32.9715645,-89.7348496
Wisconsin,44.4308975,-89.6884636
Minnesota,45.9896587,-94.6113287
Kansas,38.27312,-98.5821871
America,51.44770365,5.96606928205559
hither,51.1986012,-0.301478712391778
Alabama,33.2588817,-86.8295336
Colorado,38.7251776,-105.6077166
Chesapeake,36.7183708,-76.2466797
Delaware,38.6920451,-75.4013314
Ontario,50.0000002,-86.0
Erie,42.1290657,-80.085242
"Huron , Michigan",43.8385749,-83.0221986
Massachusetts,42.3788774,-72.0323659
Vermont,44.5990718,-72.5002607
Connecticut,41.6500201,-72.7342162
sierras,-30.7780706,-64.6374528412271
New England,52.5934191,-0.2491984
Chicago,41.8755546,-87.6244211
adobie,8.316667,8.6
Seaside,36.6258085,-121.817035788794
Maryland,39.5162234,-76.9382068
Maine,45.709097,-68.85902
Granite State,41.7600934,-74.2690382
Narragansett,41.4501021,-71.4495004
Narragansett Bay State,41.601213,-71.3219957
America,51.44770365,5.96606928205559
Koosa,58.5254614,27.0794875
